expedientecum,consecutivocum,cantidad_cum,forma_farmaceutica,codigo_concentracion,unidad_cum,modalidad,vias_administracion,unidades_medida,familias_atc,numero_filas_fuente,numero_cantidades_ingrediente_distintas,numero_principios_activos,tipos_rol,numero_vias_administracion,numero_codigos_atc,numero_unidades_medida,numero_unidades_referencia,numero_tipos_rol,numero_actores,es_muestra_medica
20119728,1,5.0,SOLUCION INYECTABLE,C,U,FABRICAR Y VENDER,INTRAVENOSA,mg,B,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
20077105,2,60.0,CAPSULA BLANDA,A,U,IMPORTAR Y VENDER,ORAL | VAGINAL,mg,G,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,2.0,1.0,1.0,1.0,2.0,2.0,0
20149016,1,30.0,TABLETA ORODISPERSABLE,A,U,IMPORTAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19906943,4,15.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,mg,R,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19908192,2,5.0,TABLETA RECUBIERTA,A,U,IMPORTAR. ENVASAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20008603,6,60.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mcg,H,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19967433,4,10.0,SUPOSITORIO,A,U,FABRICAR Y VENDER,RECTAL,g,A,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
32897,1,250.0,TABLETA CUBIERTA (GRAGEA),A,U,FABRICAR Y VENDER,ORAL,g,B,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20244320,4,60.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,4.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,4.0,0
9813,1,6.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
19954863,3,60.0,JARABE,B,ml,FABRICAR Y VENDER,ORAL,g | mcg,B,4.0,2.0,2.0,FABRICANTE,1.0,2.0,2.0,1.0,1.0,1.0,0
20048021,7,4.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,3.0,3.0,3.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19967652,5,8.0,SOLUCION PARA USO TRANSDERMICO(PARCHE),A,U,IMPORTAR Y VENDER,TRANSDERMAL,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20009242,1,10.0,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
35134,3,10.0,TABLETA,A,U,IMPORTAR. ENVASAR Y VENDER,ORAL,mg,N,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
230289,1,360.0,SUSPENSION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,3.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,3.0,0
20248755,3,30.0,TABLETA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19906526,3,133.0,SOLUCION ORAL,B,ml,FABRICAR Y VENDER,ORAL,g,A,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20042480,158,2.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20064440,1,1.0,TABLETA CUBIERTA CON PELICULA,A,U,IMPORTAR Y VENDER,ORAL,mg,L,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
19972261,12,4.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,M,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
36475,31,215.0,POLVO MEDICADO PARA USO TOPICO,D,g,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20111858,9,20.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,N,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,1
20190070,7,30.0,CAPSULA DURA,A,U,IMPORTAR. ENVASAR Y VENDER,ORAL,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20095165,7,1.0,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,A,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,J,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
230167,1,21.0,CAPSULA DURA,A,U,IMPORTAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20168474,2,200.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20224891,2,5.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,A,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20278511,2,30.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19980448,3,1.0,AEROSOLES,E,U,IMPORTAR Y VENDER,INHALACION,%(w/w),R,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,1
20058380,2,25.0,SOLUCION INYECTABLE,A,U,FABRICAR Y VENDER,INTRAVENOSA,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19986704,2,20.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,R,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19965516,1,10.0,LOCION,B,ml,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
11700,2,3.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,J,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20107054,19,5.0,CAPSULA BLANDA,A,U,FABRICAR Y VENDER,ORAL,UI,A,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20268620,5,1.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,R,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
26014,3,30.0,CREMA TOPICA,D,g,IMPORTAR Y VENDER,TOPICA (EXTERNA),g,D,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
200541,15,10.0,TABLETA DE LIBERACION PROLONGADA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
