modelo,fold,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,train_f1
K vecinos mas cercanos,5,0.7322326700196807,0.4064338956453511,0.5253549695740365,0.45830568458305687,0.6572272478201936,0.7395294649203712,0.42993883111491343,0.6042548687552921
Votacion,1,0.6818827126788249,0.3781600208496221,0.7335692618806876,0.4990541702493551,0.7006054973562792,0.7726866262978288,0.4833841757997396,0.5424235947852105
Votacion,2,0.6943350831146107,0.3897669434770962,0.7378296146044625,0.5100788781770377,0.7101027604533745,0.7893443230322111,0.5073407332521764,0.542821052631579
Votacion,3,0.6868985126859143,0.3837513061650993,0.7445514445007603,0.5064644026891916,0.7077937810985184,0.7884333849316915,0.5006985387080608,0.5422750282391332
Votacion,4,0.6813859438189966,0.37569352708058124,0.7203647416413373,0.49383573537072406,0.6955133812736303,0.7696000621317546,0.4993969736225567,0.5373458725182864
Votacion,5,0.6989940957795757,0.38896787034404323,0.6937119675456389,0.49845144835124794,0.697079011372485,0.77564778519004,0.49040513197654684,0.5522950890728621
Bagging,1,0.6904007862837174,0.38508983641727007,0.7259858442871587,0.5032416330821797,0.703291013799799,0.7763242160491975,0.516952081377124,0.5502448325172249
Bagging,2,0.6976159230096238,0.3911611309360417,0.7226166328600405,0.5075690115761353,0.70667920321195,0.7879524865122308,0.503522297167043,0.546760115234123
Bagging,3,0.6991469816272966,0.39336622807017546,0.727318803852002,0.5105853051058531,0.7093573520026988,0.786157259101623,0.5134963464064131,0.5483714146815751
Bagging,4,0.7023718439173681,0.39429861699125035,0.7077001013171226,0.5064346565162225,0.7043030123310352,0.7821073255456827,0.5138113269061262,0.5498476460237758
Bagging,5,0.7058823529411765,0.3955788248981966,0.6896551724137931,0.5027726432532348,0.6999990386741394,0.7789820308404646,0.48653921501105946,0.5554074469030481
Boosting AdaBoost,1,0.6537075461395654,0.35490148382388714,0.7376137512639029,0.47922483166365576,0.6841014849090096,0.7543237487272944,0.4505240336747378,0.4911491524011829
Boosting AdaBoost,2,0.675524934383202,0.37246859779543706,0.736815415821501,0.4948067427209263,0.6977440157746657,0.7720475106595517,0.46430672251367283,0.48767055729081044
Boosting AdaBoost,3,0.6640419947506562,0.3690731474862997,0.7850988342625443,0.5021069692058346,0.7079168693694537,0.7768510366166932,0.4658188920960842,0.4861380820559435
Boosting AdaBoost,4,0.6353699857907968,0.3488681757656458,0.7963525835866262,0.48518518518518516,0.6937163614797243,0.7646898178056901,0.45593548141696844,0.48603938024531956
Boosting AdaBoost,5,0.6453094248851957,0.3465250965250965,0.7281947261663286,0.4695879659908437,0.67536025686627,0.7481296557152801,0.444049823921826,0.4858401510383889
Regresion logistica ajustada,1,0.6648465654690401,0.35915311128324295,0.7032355915065723,0.4754742779012135,0.6787524941792508,0.7532522041100949,0.42829280261996167,0.499872351289252
Regresion logistica ajustada,2,0.6757436570428696,0.37233221907945485,0.7342799188640974,0.4941136324859239,0.6969642762195556,0.7743451545281459,0.4656978011541553,0.49627749576988156
Regresion logistica ajustada,3,0.6714785651793526,0.37160647571606475,0.7562088190572732,0.4983299933199733,0.7021875220652424,0.7728504027633405,0.45497354509135074,0.4964617144794271
Regresion logistica ajustada,4,0.6633511859219586,0.3599290780141844,0.7198581560283688,0.4799054373522459,0.6838315170385747,0.7573248749421928,0.43265204748287805,0.4981475244189963
Regresion logistica ajustada,5,0.671003717472119,0.3630842355426459,0.697261663286004,0.4775134571974301,0.6805237783951625,0.755420852910923,0.4332106930919788,0.4999370673379484
SVM lineal ajustada,1,0.6581849950857268,0.3566450970632155,0.724469160768453,0.47798532354903267,0.6821955777376183,0.7493175734021442,0.41672299896355336,0.5008622813500863
SVM lineal ajustada,2,0.6667760279965005,0.3685497676693568,0.7641987829614605,0.49727767695099817,0.7020938142358892,0.7725207421468886,0.45552135769621216,0.4948745998946558
SVM lineal ajustada,3,0.6562773403324584,0.3650830258302583,0.8023314749113026,0.5018227928356317,0.7092120350431566,0.7726308723760165,0.4482545129115115,0.49448743134346307
SVM lineal ajustada,4,0.6490326811673407,0.3531227736879601,0.7532928064842959,0.48084074373484237,0.6868206192700225,0.7552376716124956,0.424489330155785,0.49847430733553033
SVM lineal ajustada,5,0.6611633500984037,0.35823899371069184,0.7221095334685599,0.47889692281822765,0.6832599521259721,0.7526108832831653,0.42726359938868247,0.4993494877215807
